,0.0,0.05,0.1,0.15,0.2,0.3,0.5
0,3,2,2,2,2,2,1
1,4,5,5,5,4,21,89
2,2,2,2,2,3,3,3
3,3,3,2,2,2,3,3
4,2,2,2,2,2,2,4
5,2,2,2,2,2,0,2
6,3,2,2,2,1,0,86
7,3,4,4,4,4,4,4
8,2,2,2,2,1,1,1
9,2,4,4,4,3,2,3
10,2,1,1,0,0,0,84
11,3,3,5,4,5,6,6
12,2,2,3,3,3,2,3
13,2,2,2,2,2,2,2
14,3,4,5,5,5,4,2
15,2,2,2,2,3,3,2
16,2,3,4,4,5,5,7
17,4,3,3,3,3,3,4
18,2,2,2,2,2,2,1
19,4,5,4,6,6,9,89
20,2,2,3,3,3,1,6
21,4,4,3,3,3,2,2
22,3,3,3,4,4,4,11
23,5,6,6,5,5,2,25
24,3,3,3,3,3,1,6
25,3,3,3,3,2,2,2
26,2,3,4,4,4,6,10
27,2,2,2,2,2,3,3
28,2,2,2,2,2,3,8
29,2,2,3,4,20,27,5
30,2,2,2,2,2,1,6
31,3,4,4,4,5,6,99
32,3,4,4,4,4,3,2
33,2,2,2,3,4,5,90
34,2,2,2,2,2,2,3
35,3,3,2,3,3,5,21
36,3,2,2,2,2,3,50
37,2,2,3,1,2,2,4
38,3,3,4,4,4,5,55
39,3,3,2,3,3,4,75
40,3,3,3,3,3,5,7
41,4,5,5,3,1,2,2
42,3,3,3,3,1,3,84
43,4,3,3,3,3,3,3
44,3,3,3,3,4,4,5
45,3,3,3,2,2,1,1
46,3,4,4,5,5,4,7
47,2,2,3,3,3,4,5
48,3,4,4,4,4,4,5
49,2,3,3,4,5,7,12
50,4,3,3,2,2,2,2
51,2,2,2,3,3,3,3
52,2,2,2,2,3,0,82
53,2,2,2,2,1,0,1
54,1,1,1,1,0,0,0
55,3,4,3,3,3,4,103
56,2,3,3,3,3,3,3
57,2,2,2,2,1,1,1
58,4,2,2,2,2,4,7
59,2,3,4,4,4,4,2
60,2,3,3,3,1,1,1
61,2,2,2,2,2,4,82
62,2,3,3,3,2,1,1
63,4,3,3,3,3,3,5
64,3,2,3,3,4,5,4
65,3,2,2,2,2,2,25
66,3,5,5,5,6,8,10
67,2,3,3,3,3,3,6
68,2,2,2,2,2,1,63
69,2,2,2,2,2,2,2
70,4,2,2,2,2,2,2
71,2,2,2,2,2,2,3
72,2,2,1,0,0,0,0
73,3,3,3,4,4,3,5
74,2,2,4,3,3,5,7
75,2,2,2,2,2,2,8
76,2,2,3,4,5,4,82
77,2,2,2,3,2,1,1
78,3,3,3,2,1,0,0
79,2,2,2,2,2,4,90
80,3,3,2,2,2,3,3
81,2,2,2,2,2,4,2
82,5,5,4,5,6,82,74
83,3,2,2,1,1,0,4
84,2,2,2,2,1,1,4
85,2,3,3,3,3,3,4
86,2,2,3,3,3,2,9
87,2,2,2,3,3,3,6
88,2,2,2,2,3,6,86
89,2,2,3,3,2,2,2
90,2,2,4,4,5,5,10
91,3,2,3,5,8,15,81
92,3,3,3,4,4,5,5
93,4,3,3,3,3,3,7
94,2,2,2,2,2,2,98
95,3,3,4,4,4,5,6
96,2,2,2,2,2,6,6
97,4,3,3,2,2,2,2
98,3,2,2,2,2,4,6
99,2,2,2,2,2,2,22
100,4,5,5,5,4,5,6
101,2,2,2,1,1,1,1
102,3,3,3,2,2,2,3
103,3,3,2,3,3,4,3
104,3,2,2,2,2,3,5
105,2,2,2,2,1,1,0
106,3,3,3,3,3,3,5
107,2,3,4,4,4,4,7
108,3,3,2,1,4,8,6
109,2,3,3,4,3,4,81
110,5,5,5,5,6,6,6
111,3,5,5,4,4,4,6
112,3,3,3,1,1,3,83
113,5,5,5,5,3,5,5
114,4,5,6,6,6,5,5
115,3,3,3,3,3,3,4
116,2,2,2,2,2,4,7
117,2,2,2,5,5,5,4
118,4,5,3,3,2,3,3
119,2,2,2,1,0,0,0
120,3,3,3,3,3,3,3
121,2,1,1,1,1,0,0
122,3,4,3,3,3,3,3
123,4,2,2,2,2,2,2
124,3,3,3,3,2,1,1
125,3,4,5,6,7,8,20
126,3,3,5,5,5,9,103
127,3,3,3,2,2,2,4
128,2,0,0,0,1,1,1
129,2,3,3,4,4,4,6
130,2,2,2,1,0,1,9
131,3,4,5,4,4,4,5
132,3,3,3,2,3,3,5
133,3,3,3,3,3,14,95
134,2,2,2,3,3,3,2
135,4,3,2,2,2,1,1
136,5,5,5,5,5,5,5
137,3,2,2,2,2,2,2
138,2,2,2,4,5,50,87
139,3,3,3,3,3,2,90
140,3,3,5,5,4,4,112
141,4,5,5,5,4,4,6
142,4,4,5,4,5,5,5
143,2,2,2,2,4,5,6
144,3,3,4,4,4,4,4
145,2,2,2,2,2,2,2
146,2,2,3,3,4,4,25
147,2,2,2,2,0,0,0
148,2,2,2,2,2,0,0
